name_,category_,team_,birthdate_
 三浦 知良,J2,横浜FC,1967/02/26
 川口 能活,J3,相模原,1975/08/15
 本間 幸司,J2,水戸,1977/04/27
 明神 智和,J3,長野,1978/01/24
 中澤 佑二,J1,横浜FM,1978/02/25
 山岸 範宏,J3,北九州,1978/05/17
 中村 俊輔,J1,磐田,1978/06/24
 小笠原 満男,J1,鹿島,1979/04/05
 平川 忠亮,J1,浦和,1979/05/01
 橋本 英郎,J2,東京V,1979/05/21
 本山 雅志,J3,北九州,1979/06/20
 曽ヶ端 準,J1,鹿島,1979/08/02
 播戸 竜二,J3,琉球,1979/08/02
 坪井 慶介,J2,山口,1979/09/16
 稲本 潤一,J1,札幌,1979/09/18
 小野 伸二,J1,札幌,1979/09/27
 南 雄太,J2,横浜FC,1979/09/30
 増川 隆洋,J2,京都,1979/11/08
 ミキッチ,J1,湘南,1980/01/06
 遠藤 保仁,J1,G大阪,1980/01/28
 大久保 哲哉,J3,群馬,1980/03/09
 玉田 圭司,J1,名古屋,1980/04/11
 大黒 将志,J2,栃木,1980/05/04
 山本 英臣,J2,甲府,1980/06/26
 二川 孝広,J2,栃木,1980/06/27
 巻 誠一郎,J2,熊本,1980/08/07
 我那覇 和樹,J2,讃岐,1980/09/26
 髙原 寿康,J2,町田,1980/10/18
 中村 憲剛,J1,川崎F,1980/10/31
 フェルナンジーニョ,J3,鳥取,1981/01/13
 田中 マルクス闘莉王,J2,京都,1981/04/24
 松井 大輔,J2,横浜FC,1981/05/11
 塩田 仁史,J2,大宮,1981/05/28
 駒野 友一,J2,福岡,1981/07/25
 阿部 勇樹,J1,浦和,1981/09/06
 清水 健太,J2,讃岐,1981/09/18
 北本 久仁衛,J1,神戸,1981/09/18
 山瀬 功治,J2,福岡,1981/09/22
 前田 遼一,J3,FC東京,1981/10/09
 前田 遼一,J1,FC東京,1981/10/09
 那須 大亮,J1,神戸,1981/10/10
 山﨑 雅人,J2,群馬,1981/12/04
 松下 裕樹,J3,群馬,1981/12/07
 梁 勇基,J1,仙台,1982/01/07
 佐藤 勇人,J2,千葉,1982/03/12
 佐藤 寿人,J1,名古屋,1982/03/12
 石堂 和人,J3,福島,1982/04/01
