year_,category_,section_,date_,time_,hometeam_,score_,awayteam_,stadium_,visitors_,broadcast_
2018,ゼロックススーパーカップ ,None,02/10(土),13:35,川崎F,2-3,C大阪,埼玉,"41,803",日本テレビ系全国ネットにて生中継
2018,J1 ,第1節第1日,02/23(金),20:03,鳥栖,1-1,神戸,ベアスタ,"19,633",DAZN
2018,J1 ,第1節第2日,02/24(土),14:03,FC東京,1-1,浦和,味スタ,"35,951",DAZN/NHK BS1/TOKYO MX(録)
2018,J1 ,第1節第2日,02/24(土),14:03,広島,1-0,札幌,Eスタ,"17,026",DAZN/NHK広島/NHK札幌
2018,J1 ,第1節第2日,02/24(土),14:33,G大阪,2-3,名古屋,吹田S,"28,681",DAZN
2018,J1 ,第1節第2日,02/24(土),16:03,湘南,2-1,長崎,BMWス,"12,148",DAZN
2018,J1 ,第1節第3日,02/25(日),13:02,仙台,1-0,柏,ユアスタ,"15,655",DAZN/仙台放送
2018,J1 ,第1節第3日,02/25(日),13:03,清水,0-0,鹿島,アイスタ,"19,632",DAZN/テレビ静岡
2018,J1 ,第1節第3日,02/25(日),15:31,磐田,0-3,川崎F,エコパ,"31,375",DAZN/静岡朝日テレビ
2018,J1 ,第1節第3日,02/25(日),16:03,C大阪,1-1,横浜FM,ヤンマー,"23,049",DAZN
2018,J2 ,第1節第1日,02/25(日),13:04,福岡,2-0,岐阜,レベスタ,"12,856",DAZN/福岡放送(録)
2018,J2 ,第1節第1日,02/25(日),14:03,栃木,2-4,大分,栃木グ,"8,526",DAZN/とちぎテレビ(録)
2018,J2 ,第1節第1日,02/25(日),14:03,愛媛,1-2,金沢,ニンスタ,"3,439",DAZN/NHK松山/南海放送(録)
2018,J2 ,第1節第1日,02/25(日),14:03,東京V,2-1,千葉,味スタ,"9,400",DAZN
2018,J2 ,第1節第1日,02/25(日),14:03,讃岐,0-1,新潟,ピカスタ,"4,539",DAZN
2018,J2 ,第1節第1日,02/25(日),14:03,水戸,3-0,山形,Ksスタ,"7,858",DAZN
2018,J2 ,第1節第1日,02/25(日),14:03,横浜FC,0-0,松本,ニッパツ,"10,779",DAZN
2018,J2 ,第1節第1日,02/25(日),14:05,徳島,0-1,岡山,鳴門大塚,"8,753",DAZN/NHK徳島
2018,J2 ,第1節第1日,02/25(日),15:03,京都,0-2,町田,西京極,"6,225",DAZN/KBS京都(録)
2018,J2 ,第1節第1日,02/25(日),15:34,山口,4-1,熊本,みらスタ,"7,456",DAZN/山口朝日放送
2018,J2 ,第1節第1日,02/25(日),16:03,大宮,2-1,甲府,NACK,"11,777",DAZN/テレ玉
2018,J1 ,第2節第1日,03/02(金),19:03,川崎F,1-1,湘南,等々力,"22,475",DAZN
2018,J1 ,第2節第1日,03/02(金),19:03,C大阪,3-3,札幌,金鳥スタ,"10,415",DAZN
2018,J1 ,第2節第1日,03/02(金),19:33,柏,2-0,横浜FM,三協F柏,"10,659",DAZN
2018,J1 ,第2節第2日,03/03(土),14:03,名古屋,1-0,磐田,豊田ス,"38,916",DAZN/NHK名古屋
2018,J1 ,第2節第2日,03/03(土),15:03,FC東京,0-1,仙台,味スタ,"16,990",DAZN
2018,J1 ,第2節第2日,03/03(土),16:01,鹿島,1-0,G大阪,カシマ,"24,545",DAZN/NHK総合
2018,J1 ,第2節第2日,03/03(土),16:07,神戸,2-4,清水,ノエスタ,"24,058",DAZN/サンテレビ
2018,J1 ,第2節第2日,03/03(土),19:03,長崎,2-2,鳥栖,トラスタ,"14,125",DAZN/NHK BS1
2018,J2 ,第2節第1日,03/03(土),14:05,甲府,0-0,東京V,中銀スタ,"10,192",DAZN/山梨放送
2018,J2 ,第2節第1日,03/03(土),15:03,新潟,1-1,松本,デンカS,"22,465",DAZN/NHK新潟
2018,J2 ,第2節第1日,03/03(土),15:03,岐阜,0-1,横浜FC,長良川,"9,331",DAZN/岐阜放送(録)
2018,J2 ,第2節第1日,03/03(土),16:02,福岡,2-2,京都,レベスタ,"6,816",DAZN/NHK福岡/NHK京都
2018,J1 ,第2節第3日,03/04(日),16:04,浦和,1-2,広島,埼玉,"41,324",DAZN/テレ玉
2018,J2 ,第2節第2日,03/04(日),13:03,熊本,2-1,徳島,えがおS,"5,197",DAZN
2018,J2 ,第2節第2日,03/04(日),14:03,岡山,3-0,栃木,Cスタ,"9,291",DAZN/テレビせとうち
2018,J2 ,第2節第2日,03/04(日),14:04,金沢,0-1,讃岐,石川西部,"4,804",DAZN
2018,J2 ,第2節第2日,03/04(日),14:04,町田,3-2,大宮,町田,"8,839",DAZN
2018,J2 ,第2節第2日,03/04(日),14:10,千葉,0-0,水戸,フクアリ,"11,285",DAZN
2018,J2 ,第2節第2日,03/04(日),15:03,大分,2-2,山形,大銀ド,"9,024",DAZN/NHK大分
2018,J2 ,第2節第2日,03/04(日),15:04,山口,1-0,愛媛,みらスタ,"5,095",DAZN
2018,YLC グループステージAグループ,第1節第1日,03/07(水),19:03,仙台,1-1,新潟,ユアスタ,"6,508",スカパー!/スカパー!プレミアムサービス
2018,YLC グループステージAグループ,第1節第1日,03/07(水),19:34,横浜FM,1-0,FC東京,ニッパツ,"7,170",フジテレビNEXT/スカパー!/スカパー!プレミアムサービス
2018,YLC グループステージBグループ,第1節第1日,03/07(水),19:03,甲府,3-0,札幌,中銀スタ,"3,436",スカパー!/スカパー!プレミアムサービス
2018,YLC グループステージBグループ,第1節第1日,03/07(水),19:03,清水,1-0,磐田,アイスタ,"8,125",スカパー!/スカパー!プレミアムサービス
2018,YLC グループステージCグループ,第1節第1日,03/07(水),19:03,名古屋,1-4,浦和,パロ瑞穂,"9,491",フジテレビONE/スカパー!/スカパー!プレミアムサービス
2018,YLC グループステージCグループ,第1節第1日,03/07(水),19:03,G大阪,0-4,広島,吹田S,"10,058",スカパー!/スカパー!プレミアムサービス
2018,YLC グループステージDグループ,第1節第1日,03/07(水),19:03,湘南,1-0,鳥栖,BMWス,"5,987",スカパー!/スカパー!プレミアムサービス
2018,YLC グループステージDグループ,第1節第1日,03/07(水),19:03,神戸,2-2,長崎,ノエスタ,"4,881",スカパー!/スカパー!プレミアムサービス
2018,J3 ,第1節第1日,03/09(金),19:03,YS横浜,2-2,相模原,ニッパツ,"1,141",DAZN
2018,J1 ,第3節第1日,03/10(土),13:03,横浜FM,1-2,鳥栖,ニッパツ,"11,247",DAZN
2018,J1 ,第3節第1日,03/10(土),13:03,川崎F,2-0,G大阪,等々力,"22,520",DAZN
2018,J1 ,第3節第1日,03/10(土),14:02,仙台,1-1,神戸,ユアスタ,"14,270",DAZN/ミヤギテレビ/サンテレビ(録)
2018,J1 ,第3節第1日,03/10(土),14:03,長崎,1-1,浦和,トラスタ,"15,975",DAZN/長崎国際テレビ
2018,J1 ,第3節第1日,03/10(土),15:03,鹿島,0-1,広島,カシマ,"16,799",DAZN
2018,J1 ,第3節第1日,03/10(土),15:03,柏,1-1,C大阪,三協F柏,"11,091",DAZN
2018,J1 ,第3節第1日,03/10(土),15:03,磐田,2-0,FC東京,ヤマハ,"13,928",DAZN/静岡放送
2018,J1 ,第3節第1日,03/10(土),19:03,札幌,1-3,清水,札幌ド,"19,390",DAZN/NHK BS1
2018,J2 ,第3節第1日,03/10(土),16:03,大宮,0-1,徳島,NACK,"6,989",DAZN/テレ玉
2018,J3 ,第1節第2日,03/10(土),13:03,藤枝,1-0,長野,藤枝サ,"1,837",DAZN
2018,J3 ,第1節第2日,03/10(土),14:03,C大23,0-1,秋田,ヤンマー,"1,013",DAZN
2018,J1 ,第3節第2日,03/11(日),16:03,湘南,0-0,名古屋,BMWス,"12,465",DAZN
2018,J2 ,第3節第2日,03/11(日),13:03,熊本,1-2,山形,えがおS,"4,094",DAZN
2018,J2 ,第3節第2日,03/11(日),14:03,千葉,2-3,岐阜,フクアリ,"8,845",DAZN
2018,J2 ,第3節第2日,03/11(日),14:03,栃木,2-5,山口,栃木グ,"4,681",DAZN
2018,J2 ,第3節第2日,03/11(日),14:03,町田,0-0,甲府,町田,"5,802",DAZN
2018,J2 ,第3節第2日,03/11(日),14:03,新潟,1-1,京都,デンカS,"14,239",DAZN
2018,J2 ,第3節第2日,03/11(日),14:03,金沢,0-1,福岡,石川西部,"3,032",DAZN
2018,J2 ,第3節第2日,03/11(日),14:03,東京V,2-1,松本,味スタ,"8,812",DAZN
2018,J2 ,第3節第2日,03/11(日),14:04,岡山,1-0,大分,Cスタ,"8,358",DAZN
2018,J2 ,第3節第2日,03/11(日),14:04,讃岐,1-2,水戸,ピカスタ,"2,693",DAZN
2018,J2 ,第3節第2日,03/11(日),15:03,横浜FC,3-0,愛媛,ニッパツ,"4,464",DAZN
2018,J3 ,第1節第3日,03/11(日),12:33,福島,2-1,群馬,とうスタ,"2,837",DAZN
2018,J3 ,第1節第3日,03/11(日),13:03,鹿児島,0-2,鳥取,鴨池,"5,823",DAZN
